geo_code1,geo_code2,all,trimode_base,from_home,light_rail,train,bus,taxi,motorbike,car_driver,car_passenger,bicycle,foot,other,length,pwalk_base,pcycle_base,pdrive_base
lcid,E02000001,0.682822,0.531083,0,0.075869,0.075869,0,0,0,0.075869,0,0,0.455214,0,270454,0.857143,0,0.142857
lcid,E02000186,0.151738,0,0,0,0.151738,0,0,0,0,0,0,0,0,267714,0,0,0
lcid,E02000187,0.075869,0.075869,0,0,0,0,0,0,0.075869,0,0,0,0,268229,0,0,1
lcid,E02000192,0.151738,0.075869,0,0,0.075869,0,0,0,0,0,0.075869,0,0,269770,0,1,0
lcid,E02000208,0.227607,0,0,0,0,0,0,0,0,0,0,0,0.227607,283957,0,0,0
lcid,E02000221,0.075869,0.075869,0,0,0,0,0,0,0.075869,0,0,0,0,286602,0,0,1
lcid,E02000252,0.075869,0.075869,0,0,0,0,0,0,0.075869,0,0,0,0,266475,0,0,1
lcid,E02000266,0.075869,0.075869,0,0,0,0,0,0,0,0,0,0.075869,0,265719,1,0,0
lcid,E02000386,0.075869,0,0,0.075869,0,0,0,0,0,0,0,0,0,271291,0,0,0
lcid,E02000442,0.075869,0.075869,0,0,0,0,0,0,0.075869,0,0,0,0,257780,0,0,1
lcid,E02000511,0.075869,0,0,0,0,0.075869,0,0,0,0,0,0,0,262052,0,0,0
lcid,E02000620,0.075869,0,0,0,0.075869,0,0,0,0,0,0,0,0,273268,0,0,0
lcid,E02000710,0.075869,0.075869,0,0,0,0,0,0,0.075869,0,0,0,0,281499,0,0,1
lcid,E02000817,0.151738,0,0,0,0.151738,0,0,0,0,0,0,0,0,274330,0,0,0
lcid,E02000891,0.075869,0.075869,0,0,0,0,0,0,0,0,0,0.075869,0,274106,1,0,0
lcid,E02000972,0.151738,0.151738,0,0,0,0,0,0,0.151738,0,0,0,0,269483,0,0,1
lcid,E02000974,0.075869,0,0,0,0.075869,0,0,0,0,0,0,0,0,269091,0,0,0
lcid,E02000977,0.455214,0.151738,0,0.151738,0,0.151738,0,0,0.151738,0,0,0,0,270575,0,0,1
lcid,E02000979,0.151738,0,0,0,0.151738,0,0,0,0,0,0,0,0,271933,0,0,0
lcid,E02000990,0.151738,0.151738,0,0,0,0,0,0,0.151738,0,0,0,0,70410,0,0,1
lcid,E02001002,0.075869,0.075869,0,0,0,0,0,0,0.075869,0,0,0,0,61584,0,0,1
lcid,E02001004,0.151738,0,0,0,0,0.151738,0,0,0,0,0,0,0,65523,0,0,0
lcid,E02001020,0.075869,0,0,0,0,0,0,0,0,0.075869,0,0,0,56131,0,0,0
lcid,E02001026,0.455214,0.227607,0,0,0,0,0,0,0,0.227607,0,0.227607,0,54502,1,0,0
lcid,E02001055,0.075869,0.075869,0,0,0,0,0,0,0,0,0,0.075869,0,53840,1,0,0
lcid,E02001059,0.227607,0.227607,0,0,0,0,0,0,0.227607,0,0,0,0,55815,0,0,1
